Risk Factor Pathway,Sector,Model,Scenario,Geography,Units,2010,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,12876729.96,25753459.91,3280727620,201828137.8,-7404416684,-28936963016,-57296926263,-85760002809,-112094483745,-138037475220
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,3486926.724,6973853.448,462324675.3,-3261306881,-15187584357,-33119906363,-57516765044,-75545699671,-88413964135,-114640716069
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,8056285.341,16112570.68,1440224088,291641253.4,-304903669.6,-2381509219,-6472535708,-11670276408,-21488988271,-39633837672
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,298459170.5,596918340.9,6435374797,-3663911908,-23734430313,-56629222976,-93359483609,-130531476109,-171911727542,-220958328616
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year,0,478337954.5,956675909,1120001267,1819711643,2911147474,4586197215,6597123809,9288556643,11815689216,14719809626
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,122005050.5,244010100.9,334929948.6,779950379,1408235572,2258062134,3249846392,4656488840,5991904168,7538709325
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,12876729.96,25753459.91,41093742.8,141003471.1,377756522.5,854221189.1,1538354023,2484502786,3576258136,4855807053
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,3486926.724,6973853.448,9106743.128,35662934.7,123151664.1,328405748.4,616578702.6,941592614.2,1172682301,1277199026
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year,0,8056285.341,16112570.68,20867197.63,62108353.76,124903824,195720201,250146406.9,285834596.4,309157163.5,354196296.9
Direct emissions cost,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,298121630.4,596243260.7,625267809,676155226.9,706383999.1,740974736.7,738097581.5,753150540.8,672330066.5,693896483.4
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,53713050.84,107426101.7,22193759965,8856468628,-28429687282,-133925900965,-294109738284,-536159233844,-955562844799,-1720300428623
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,2645743.732,5291487.464,7653084830,2371049181,-11426262344,-31996352911,-67445920846,-121624348164,-219820640245,-382264277559
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,3403169.823,6806339.646,4350106018,3208769577,-2853326714,-22357023311,-48729252606,-81199551487,-142107341037,-290498032708
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,0,0,837713759,382427343.2,-5652594796,-46728901153,-98068613267,-179280858346,-314170215318,-547436555243
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,0,0,1601954649,560955418.1,-571794910.8,-1653285198,-6531338404,-13728516412,-25936840017,-48708870454
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,352408.9669,704817.9339,7290208241,1822635480,-8327244547,-31402341004,-73388810206,-140338458171,-253527852575,-451392735954
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,World,$ 2010/local currency per year,0,53713050.84,107426101.7,320772771.7,614047362.6,766231972.6,300830484.5,705973799,609240383.3,663821479.5,923297449.2
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,2645743.732,5291487.464,0,12396648.05,2907949.91,0,6989487.57,14645451.18,9002422.673,83194855.97
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,3403169.823,6806339.646,21569734.21,10484814.88,0,3044378.941,38315164.52,0,0,0
