Risk Factor Pathway,Sector,Model,Scenario,Geography,Units,2010,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
Low-carbon capital expenditure,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year,265677159500,291563131750,317449104000,83263450460,8427567330,10386663440,8724371240,7040179520,6145939500,5717101970,5314530000
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,173344093580,205561934135,237779774690,66771564060,3409427520,4442175450,3028082020,2231822290,2560096940,2950675790,2567618160
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,5235330800,10887821170,16540311540,6147269730,520232340,468404020,380461760,390088100,612267010,897394340,865769320
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,2424816440,2664569580,2904322720,1075526080,476817600,311292740,474280800,505081880,360601190,328477120,318580080
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,3794862720,3331856985,2868851250,693412620,77076300,55481100,41972140,28116000,37504500,36443980,37517760
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,80889252700,69124267890,57359283080,8575448120,3943948900,5109437120,4800028420,3885258430,2575357350,1504082580,1525010740
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year,265677159500,291563131750,317449104000,386789804050,569784508020,928716518480,1520867472630,2110218743720,2642178367760,2813876514300,2850325880970
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year,173344093580,205561934135,237779774690,278795183070,388341156620,554845151460,783545517660,944301290660,1105478203560,1098005603690,1078555148060
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year,5235330800,10887821170,16540311540,38283401990,83168200700,203822601100,434453255560,720128818420,989184996220,1174619778750,1291325097040
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year,2424816440,2664569580,2904322720,9149138160,27230702400,79508361810,183318153750,290105243750,378468157650,387456900020,336609499500
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year,3794862720,3331856985,2868851250,6453734430,16847650400,32569094620,46568598900,71548971600,81314031420,83267711460,81726125040
Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,80889252700,69124267890,57359283080,54114019520,54194874420,57958791740,72994232780,84125026140,87746502560,70526612320,62158029960
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,357402861426,714805722852,175923542677,213633580481,415243875853,522803589469,191101095091,62933734291,1632040189,2828499552
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,85273110449,170546220898,84552880036,105070667006,184654517050,235668207542,70605128000,22751140450,0,0
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,4641596852,9283193704,9467323119,7631720663,8544113044,18819550776,35928959164,15556614737,10143633.54,16410497.94
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,1450104854,2900209708,3126100900,7531923773,6499180191,-0.000002185914904,745.3302622,-233.7622505,53.3740289,45.08609311
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,4248545631,8497091262,7803896127,8389346200,20755860231,57538271225,11841052600,608983039.4,520786093.9,526791039
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,40681456034,81362912067,18308580578,65373888140,150395097571,142169032842,26842413948,6186720197,1086119691,547934770.7
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi_V3,World,$ 2010/local currency per year,0,357402861426,714805722852,355119406859,539514325042,674028217052,816084510272,1126241967516,1390668543861,2126365707178,2342417542549
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,85273110449,170546220898,240408431413,282998645890,311821181016,417834817568,559551543829,690871342814,694334084136,744900051042
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,4641596852,9283193704,15517958206,24438910106,45739829329,92016957371,152055741469,223785157355,414178609883,668819260720
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,1450104854,2900209708,4923019477,9267779429,16559135830,20152493985,19022679949,18533718291,18616462416,13514673969
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5REF,$ 2010/local currency per year,0,4248545631,8497091262,12979008421,17478096876,23029458360,33841658916,35973905877,37297072836,34820849113,44601522412
Revenue,Coal,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,40681456034,81362912067,51242548881,59714651850,71577916719,89814449919,118836178706,149830258502,155947169841,200206734885
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year,490174731130,672441853035,854708974940,780698265120,549550145400,413039083080,386651597900,390741234670,452631823020,464524060000,422763659010
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,78758744420,172830999695,266903254970,334060462490,280193101790,212004879860,188814630820,190663739510,218484529210,211133281150,196926697390
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,50196432720,74395240180,98594047640,76401090500,54732213760,59674110400,71023714750,80479767260,97505492840,113669127910,114227584860
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,28064129200,35025042680,41985956160,30845004240,32752906600,32576879520,41474268000,46937736100,57539131500,56867622000,50415519600
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,36595636240,43267801400,49939966560,23028772500,7795696490,6411238710,5587475040,4801168260,5292925870,5454075580,4704375040
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,296566151680,346921966635,397277781590,316369716520,174072203650,102374872660,79751507010,67861199630,73806606440,77402213130,56489788180
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year,490174731130,672441853035,854708974940,1111849710720,1597276672680,1865985076480,2120870292600,2262612171470,2624088210720,2827452611400,3267675557700
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year,78758744420,172830999695,266903254970,358685343500,623329507520,719431151400,782566230800,785633055900,883595006260,965110964440,1124107198280
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year,50196432720,74395240180,98594047640,166425490380,268542695600,367822181190,482530174990,580096155380,736267279740,857318014660,1032072017610
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year,28064129200,35025042680,41985956160,58963994850,87222781100,119953434560,174434601600,221958256920,287880870060,322783032320,356775313930
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year,36595636240,43267801400,49939966560,60006795840,70048016850,74596314140,67826362460,61659276750,50727821920,37583680860,40785709800
Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,296566151680,346921966635,397277781590,467767267640,548122320340,584192859970,613511274810,613260419960,665609439920,644670829690,713924786180
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,446012343751,892024687503,1087673613738,2063228794786,2029373762887,1924590780810,1190776041296,1106969363989,1307767549568,1842187443631
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,44446992354,88893984707,207049106364,366694126257,305515429095,311183527511,321939245497,407933536882,517235318936,716949320016
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,22313003237,44626006473,86959652240,201963340954,282528811301,442001716613,421614779408,199102717477,344451627380,630095220869
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,9460111477,18920222953,20872144200,39945192242,31990262778,20394862634,9530375100,9727588729,3498012284,75265512.73
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,17814768529,35629537059,45185281243,60895362507,52989899931,30995098080,39144883282,48463807903,64413486348,87404554749
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,124481884721,248963769441,315499887709,365484302087,427366401667,354744408263,237019583481,117967234430,141910690277,217149402327
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,World,$ 2010/local currency per year,0,446012343751,892024687503,715816452684,1215163216565,1550068488813,1957702025453,2349640084663,2754687805442,2881696538095,4942973373937
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,44446992354,88893984707,147364953517,255278724344,334916540444,406406231137,431738644516,493977830797,575596896673,807085904266
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,22313003237,44626006473,85953675207,149067595220,206938465189,337491061038,474434828871,537440090560,578838084682,587127439626
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,9460111477,18920222953,28661314631,44764925649,64018765616,116198515382,151036463588,180634485432,229895264424,263150220901
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5REF,$ 2010/local currency per year,0,17814768529,35629537059,35174941051,46581484283,60997042758,95202507700,122677452731,144640018632,143887045542,191823085811
Revenue,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,124481884721,248963769441,240537712897,324095338307,448529579544,514861400491,593820243222,623277148955,639872008307,739383005573
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year,1610369347210,1907332378835,2204295410460,2496486051200,2398317915780,2216077579070,1769898130000,1378239857280,1091716525410,993058542280,947151290800
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,421875798090,597654034110,773432270130,1011355776130,1037349600990,1021668562420,874785290710,765312633950,662240111640,639560481870,609892525830
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,119688868710,180694358200,241699847690,295522947300,397171432530,410449675010,327055563500,274995886300,253061642180,233970421860,253029816760
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,135380220560,170984076970,206587933380,200969005010,166198350990,126163169740,54213185000,14450171400,13826669880,13656419700,12835042440
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,44078241480,53879694780,63681148080,70958531280,65624395520,50750898330,31648661460,17444154030,2423151540,2297393250,2233839600
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,889352771890,904128980305,918905188720,917704495570,731965678770,607055172150,482191855630,306037068770,160171989050,103576022710,69160724780
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year,1610369347210,1907332378835,2204295410460,2957314698000,3593051154000,3466029787500,3334347433780,2905969490920,2471562119680,2422113856080,2580773460470
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year,421875798090,597654034110,773432270130,1151177024830,1356939078800,839474814600,591670176270,293991573240,103293211840,93590530200,119929916440
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year,119688868710,180694358200,241699847690,377996990840,591700089750,718539268010,719397652130,620442209280,546012851550,573468715620,655763373980
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year,135380220560,170984076970,206587933380,278528194600,351655820920,372298850240,296733749400,185631773250,78246066600,106503231500,233449186210
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year,44078241480,53879694780,63681148080,64652296600,52357628800,32859220750,11951205200,9220741040,8962831620,8483607000,8911018020
Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,889352771890,904128980305,918905188720,1084953200950,1240405642670,1502853750580,1714587766550,1796694314120,1735036800320,1640069218040,1562725962760
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,823030379661,1646060759322,653863113369,726434779630,231952843648,81531632237,45210476937,14715045356,1591300832,1739626861
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,98830377531,197660755061,220868651910,252569056543,104431724419,18311676647,-5328908381,0,0,0
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,43794716039,87589432079,78998319924,45972282569,16781718348,3116859791,2118899482,1208109042,77578322.57,476315679.6
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,26186594349,52373188698,55530274918,32202589664,10131696869,499842750.2,253907221.7,293121072.2,168037491.7,67909102.9
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,19815823755,39631647510,25941236895,13866571492,3913147536,256366656.7,306684925.2,175997552.2,22437465.14,0
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,168195831347,336391662694,221225554748,217570296199,76024622088,-18266476137,-34720603353,-32402877290,-3907964106,-6167695870
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,World,$ 2010/local currency per year,0,823030379661,1646060759322,973562752347,1416975009211,1730328526806,1587050449440,1709456321257,2079853965831,2262825440696,2880337700690
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,98830377531,197660755061,299460723729,400592907557,537942608156,551585588673,620513357627,715156950160,769914446664,957229512199
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,43794716039,87589432079,120517855782,162690233962,192308783007,248422632286,349475783113,487435517352,552711769590,733146336840
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,26186594349,52373188698,92605633822,122944067096,148955395401,130866189566,148324980791,215654782316,257405837711,322318034262
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5REF,$ 2010/local currency per year,0,19815823755,39631647510,45129065831,58287550191,77757257733,101145819245,81666648676,90646165235,84729658315,109501918941
Revenue,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,168195831347,336391662694,317926483766,475545275939,539679537913,481590800916,387009644095,460470744188,456785476821,521813509840
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year,2100544078340,2579774231870,3059004385400,3277184316320,2947868061180,2629116662150,2156549727900,1768981091950,1544348348430,1457582602280,1369914949810
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,500634542510,770485033805,1040335525100,1345416238620,1317542702780,1233673442280,1063599921530,955976373460,880724640850,850693763020,806819223220
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,169885301430,255089598380,340293895330,371924037800,451903646290,470123785410,398079278250,355475653560,350567135020,347639549770,367257401620
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,163444349760,206009119650,248573889540,231814009250,198951257590,158740049260,95687453000,61387907500,71365801380,70524041700,63250562040
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,80673877720,97147496180,113621114640,93987303780,73420092010,57162137040,37236136500,22245322290,7716077410,7751468830,6938214640
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,1185918923570,1251050946940,1316182970310,1234074212090,906037882420,709430044810,561943362640,373898268400,233978595490,180978235840,125650512960
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year,2100544078340,2579774231870,3059004385400,4069164408720,5190327826680,5332014863980,5455217726380,5168581662390,5095650330400,5249566467480,5848449018170
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year,500634542510,770485033805,1040335525100,1509862368330,1980268586320,1558905966000,1374236407070,1079624629140,986888218100,1058701494640,1244037114720
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year,169885301430,255089598380,340293895330,544422481220,860242785350,1086361449200,1201927827120,1200538364660,1282280131290,1430786730280,1687835391590
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year,163444349760,206009119650,248573889540,337492189450,438878602020,492252284800,471168351000,407590030170,366126936660,429286263820,590224500140
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year,80673877720,97147496180,113621114640,124659092440,122405645650,107455534890,79777567660,70880017790,59690653540,46067287860,49696727820
Revenue,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,1185918923570,1251050946940,1316182970310,1552720468590,1788527963010,2087046610550,2328099041360,2409954734080,2400646240240,2284740047730,2276650748940
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,1269042723412,2538085446825,1741536727106,2789663574417,2261326606535,2006122413048,1235986518234,1121684409345,1309358850400,1843927070491
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,143277369884,286554739769,427917758274,619263182800,409947153514,329495204158,316610337116,407933536882,517235318936,716949320016
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,66107719276,132215438552,165957972164,247935623524,299310529649,445118576404,423733678890,200310826519,344529205703,630571536548
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,35646705826,71293411651,76402419118,72147781906,42121959647,20894705384,9784282321,10020709802,3666049776,143174615.6
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,37630592285,75261184569,71126518138,74761933999,56903047468,31251464736,39451568207,48639805455,64435923813,87404554749
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,292677716068,585355432135,536725442457,583054598286,503391023755,336477932126,202298980128,85564357140,138002726171,210981706457
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,World,$ 2010/local currency per year,0,1269042723412,2538085446825,1689379205031,2632138225775,3280397015620,3544752474893,4059096405920,4834541771273,5144521978791,7823311074627
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,143277369884,286554739769,446825677246,655871631901,872859148600,957991819810,1052252002143,1209134780957,1345511343337,1764315416465
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,66107719276,132215438552,206471530989,311757829182,399247248196,585913693325,823910611984,1024875607911,1131549854272,1320273776465
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,35646705826,71293411651,121266948453,167708992745,212974161017,247064704948,299361444379,396289267748,487301102135,585468255162
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5REF,$ 2010/local currency per year,0,37630592285,75261184569,80304006882,104869034474,138754300492,196348326944,204344101406,235286183867,228616703857,301325004752
Revenue,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,292677716068,585355432135,558464196664,799640614245,988209117457,996452201407,980829887317,1083747893143,1096657485128,1261196515412
