year,value,category,variable,model,scenario,region,unit
2040,1529226480.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2060,1561128120.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2080,2165543940.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2100,1443882190.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2020,2904322720.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2040,845582300.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2060,688794310.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2080,540344150.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2100,565585650.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2020,2868851250.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2040,99984460.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2060,53242740.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2080,47831810.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2100,57541410.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2020,57359283080.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2040,7373101990.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2060,11237807660.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2080,5722121050.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2100,2244698830.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
