year,value,category,variable,model,scenario,region,unit
2040,1240405642670.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
2060,1714587766550.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
2080,1735036800320.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
2100,1562725962760.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
2020,2204295410460.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2040,3156890312810.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2060,3129754495380.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2080,2275856878900.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2100,1968452610090.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2020,773432270130.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2040,1339535920020.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2060,1419568672290.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2080,1116167840800.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2100,1008091623920.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2020,241699847690.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2040,506326466960.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2060,645974881040.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2080,645567537030.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2100,625457351580.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2020,206587933380.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2040,220832293000.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2060,103959650160.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2080,22383266920.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2100,21846456900.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2020,63681148080.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2040,78607330560.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2060,58713747020.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2080,28769717460.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2100,8375994980.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2020,918905188720.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2040,1011579922910.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2060,901544029590.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2080,462963330760.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2100,304680725710.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2020,2204295410460.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2040,2398317915780.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2060,1769898130000.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2080,1091716525410.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2100,947151290800.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2020,773432270130.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2040,1037349600990.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2060,874785290710.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2080,662240111640.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2100,609892525830.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2020,241699847690.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2040,397171432530.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2060,327055563500.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2080,253061642180.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2100,253029816760.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2020,206587933380.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2040,166198350990.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2060,54213185000.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2080,13826669880.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2100,12835042440.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2020,63681148080.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2040,65624395520.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2060,31648661460.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2080,2423151540.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2100,2233839600.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2020,918905188720.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2040,731965678770.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2060,482191855630.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2080,160171989050.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2100,69160724780.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
