year,value,model,scenario,region,variable
2030,-3.9515,IMAGE 3.0.1,NPi2020_1000,World,Oil
2030,-3.8468,IMAGE 3.0.1,NPi2020_400,World,Oil
2030,-0.0667,IMAGE 3.0.1,NPi,World,Oil
2030,1.4493,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2030,-0.0528,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2030,-1.9043,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Oil
2040,1.1833,AIM/CGE 2.1,NPi,World,Coal
2040,2.2347,AIM/CGE 2.1,NPi2020_1000,World,Coal
2040,-0.4703,AIM/CGE 2.1,NPi2020_400,World,Coal
2040,2.4075,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2040,1.6383,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2040,1.1715,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2040,2.5133,WITCH-GLOBIOM 4.4,NPi,World,Coal
2040,-0.4148,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2040,-0.3726,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2040,-2.0411,IMAGE 3.0.1,NPi2020_1000,World,Coal
2040,-0.6407,IMAGE 3.0.1,NPi2020_400,World,Coal
2040,2.2816,IMAGE 3.0.1,NPi,World,Coal
2040,7.3001,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2040,0.059,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2040,-0.0664,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Coal
2040,1.9123,AIM/CGE 2.1,NPi,World,Gas
2040,2.8004,AIM/CGE 2.1,NPi2020_1000,World,Gas
2040,-0.0475,AIM/CGE 2.1,NPi2020_400,World,Gas
2040,4.5012,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2040,0.5541,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
