year,value,model,scenario,region,variable
2010,13.47018,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2020,13.26508,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2020,18.47798,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2020,12.05387,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2030,6.813304,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2030,33.1558,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2030,5.283953,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2040,17.65475,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2040,31.9307,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2040,5.783387,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2050,31.69055,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2050,31.49727,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2050,-14.4073,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2060,34.62971,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2060,15.86462,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2060,-3.12885,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2070,35.05137,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2070,9.343979,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2070,5.955302,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2080,35.98049,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2080,4.618786,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2080,13.80431,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2090,12.62709,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2090,18.40704,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2090,12.038,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2010,-12.2634,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2010,14.85942,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2010,13.47018,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2020,-48.5511,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2020,24.21475,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2020,9.52099,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2030,-11.5916,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2030,29.77205,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2030,-18.3966,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2040,12.01403,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2040,3.930685,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2040,-21.2469,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2050,22.02462,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2050,4.253454,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2050,-27.6598,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2060,17.85568,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2060,-21.2488,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2060,-15.9907,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2070,-0.68346,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2070,-27.9121,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2070,-11.7056,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2080,-30.6338,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2080,-29.445,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2080,-3.54717,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2090,-28.7323,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2090,-23.0819,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2090,-0.808,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2010,-12.2634,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2010,14.85942,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2010,13.47018,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2020,-57.5043,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2020,14.10039,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2020,-18.9379,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2030,-5.15159,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2030,21.7759,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
